1,0,0,10,0,18,2,2,20,0,0
1,0,0,2,0,4,0,2,16,4,0
1,0,0,0,0,8,0,8,2,10,0
1,0,0,2,2,6,2,0,4,6,0
1,0,0,0,0,4,0,0,12,0,0
1,0,0,0,0,2,0,0,24,10,0
1,0,0,0,8,6,2,2,16,0,0
1,2,0,0,0,4,0,6,2,8,0
1,0,0,52,0,0,2,4,20,4,0
1,0,4,0,4,2,4,0,12,8,0
1,0,4,0,2,0,6,12,10,2,0
1,4,0,0,2,0,0,0,8,6,0
1,0,2,0,2,4,10,4,18,4,6
1,0,0,0,0,0,0,0,10,12,0
1,0,0,30,2,4,8,12,14,4,0
1,0,0,16,10,2,0,6,20,8,4
1,0,0,0,2,0,2,4,10,10,2
1,0,0,0,0,0,0,2,0,0,2
1,2,0,0,0,0,4,0,0,6,0
1,0,0,0,10,0,0,4,0,8,0
2,0,2,2,2,14,0,10,18,6,2
2,0,0,0,0,10,8,6,18,2,0
2,0,0,16,0,24,0,2,20,0,0
2,0,0,0,0,14,0,0,14,18,0
2,0,0,0,0,22,4,10,16,0,2
2,0,0,0,0,12,2,0,6,2,2
2,2,0,0,0,10,0,14,28,8,0
2,2,0,0,10,14,2,6,12,8,0
2,0,4,0,0,16,2,2,26,8,2
2,0,4,0,0,6,2,2,12,12,0
2,0,0,0,4,18,2,2,14,4,0
2,0,0,0,10,12,4,4,24,6,0
2,0,2,18,6,4,2,0,0,6,0
2,0,0,0,0,4,0,6,12,6,2
2,0,0,0,0,12,2,2,20,8,0
2,0,0,0,4,14,2,4,0,6,0
2,0,0,0,8,16,2,2,0,6,0
2,0,0,0,0,0,2,20,0,6,8
2,0,0,0,2,16,2,0,0,14,2
2,2,0,0,4,2,2,0,0,6,0
3,0,0,0,2,8,0,0,4,0,0
3,0,0,0,0,6,0,4,10,4,0
3,0,0,0,0,6,2,0,2,0,0
3,0,0,0,4,12,0,2,4,2,0
3,0,0,0,0,8,2,6,0,0,0
3,0,0,110,4,6,0,0,10,4,0
3,0,0,0,2,6,0,0,4,4,0
3,0,0,0,2,10,0,0,4,2,0
3,0,0,0,6,0,0,4,2,0,0
3,0,0,32,4,6,0,0,0,4,0
3,0,2,52,2,12,0,2,6,2,0
3,0,4,30,0,0,2,4,2,2,0
3,0,0,0,0,2,0,4,2,6,4
3,0,0,0,6,0,2,4,0,14,0
3,2,2,0,0,6,0,6,0,4,0
3,0,0,0,4,2,0,8,16,0,4
3,2,0,0,0,6,2,6,2,16,0
3,0,0,0,2,6,2,6,0,8,4
3,0,0,0,16,2,6,2,0,12,2
3,0,0,0,0,6,0,0,0,12,2
4,2,0,0,2,6,2,2,6,2,0
4,0,0,0,0,10,0,0,22,2,0
4,2,0,0,0,4,0,2,8,0,0
4,0,0,0,2,4,0,0,6,0,0
4,0,0,0,0,16,0,0,14,0,0
4,0,0,20,0,2,0,2,0,4,0
4,2,0,14,0,2,0,0,12,8,0
4,2,0,20,0,12,2,2,10,0,0
4,0,0,0,0,0,0,2,0,0,2
4,2,0,22,0,2,0,4,8,12,0
4,0,0,0,12,6,2,2,0,6,6
4,2,0,12,2,4,0,6,16,0,0
4,0,0,20,0,16,0,2,0,6,0
4,0,0,0,2,8,2,6,12,14,0
4,0,0,0,2,4,0,0,0,8,0
4,0,0,0,0,2,2,0,6,14,0
4,0,0,0,2,8,0,2,0,2,2
4,0,0,0,6,16,0,0,0,6,10
4,0,0,0,2,4,0,0,0,8,4
4,0,0,0,4,2,0,0,0,20,2
5,0,2,14,0,0,0,0,12,0,0
5,0,0,0,0,10,2,0,8,0,0
5,0,0,2,2,6,0,4,10,0,0
5,0,0,36,0,2,2,0,6,0,0
5,0,0,18,0,6,0,0,4,2,0
5,0,0,0,2,4,0,0,18,8,0
5,0,0,8,0,4,0,0,0,2,0
5,0,2,0,0,8,4,2,2,6,0
5,0,0,0,0,6,0,2,0,2,0
5,0,0,0,4,4,2,2,0,6,8
5,0,2,0,0,10,0,2,2,6,0
5,0,0,0,2,6,2,2,12,0,0
5,0,0,0,0,8,2,8,4,10,2
5,2,0,0,0,0,2,0,6,4,0
5,0,0,0,4,4,0,0,4,6,4
5,0,0,0,8,0,0,4,16,6,2
5,0,0,0,2,2,2,4,0,6,2
5,0,0,0,0,4,6,10,0,12,0
5,0,0,0,0,2,0,2,0,12,0
5,2,0,0,0,8,2,2,0,12,0
6,0,0,0,0,6,0,0,10,4,0
6,0,0,0,0,4,0,2,8,2,0
6,0,2,24,0,6,0,4,2,0,0
6,2,0,0,0,10,0,6,16,14,0
6,0,2,0,0,0,0,0,2,2,0
6,0,0,0,4,0,0,0,6,6,0
6,0,0,0,2,18,0,0,10,4,0
6,0,0,0,0,6,0,0,10,2,0
6,0,0,0,4,8,0,0,0,4,0
6,0,0,0,2,4,0,2,6,2,0
6,0,0,0,0,14,0,0,8,8,4
6,0,0,38,4,0,0,0,12,4,0
6,2,0,0,0,8,0,6,4,16,0
6,0,2,0,0,4,0,0,6,2,0
6,0,0,0,6,24,2,0,4,0,0
6,0,0,0,12,6,0,4,8,6,0
6,0,0,0,4,0,4,2,0,8,0
6,0,0,0,8,0,2,10,0,14,0
6,0,0,0,0,6,2,6,0,2,0
6,0,0,0,4,0,0,0,0,4,2
7,0,2,0,0,6,0,12,8,2,0
7,0,0,10,0,4,0,0,8,0,4
7,0,2,36,4,12,0,0,8,2,0
7,2,0,54,0,2,0,0,0,2,0
7,4,0,0,6,20,0,4,14,2,0
7,4,0,0,4,8,2,0,4,0,2
7,0,4,2,2,4,2,2,8,4,0
7,2,0,0,0,0,0,0,14,2,2
7,0,0,0,0,4,2,0,10,0,2
7,2,0,16,6,2,0,4,4,0,0
7,4,0,0,0,2,0,2,8,4,0
7,4,0,0,0,4,2,10,8,16,2
7,0,4,0,6,16,0,8,8,10,0
7,0,0,0,4,20,4,0,2,24,2
7,0,0,0,0,4,2,2,4,4,0
7,0,0,0,2,12,0,4,16,12,4
7,0,0,0,2,0,0,4,10,8,0
7,0,0,0,2,6,0,8,0,14,4
7,2,0,0,0,0,0,0,0,10,0
7,0,0,0,0,0,2,0,0,14,0
8,0,0,0,0,18,2,2,14,6,0
8,0,0,2,2,12,2,2,8,0,0
8,0,0,0,0,18,0,2,14,4,0
8,0,0,0,0,4,0,2,0,6,0
8,0,0,0,0,12,0,0,2,0,0
8,0,2,0,8,2,0,6,2,6,0
8,2,0,24,0,4,4,2,0,0,0
8,0,0,0,0,0,0,2,4,0,0
8,0,2,0,2,2,0,0,0,0,0
8,0,0,20,2,6,0,0,8,8,2
8,0,0,0,4,6,0,0,0,8,2
8,0,2,20,0,2,4,8,16,2,4
8,0,0,0,4,6,4,0,2,12,0
8,0,0,0,0,0,0,8,6,8,0
8,0,0,0,0,4,2,4,14,6,0
8,2,0,0,2,4,4,4,8,2,0
8,0,0,0,2,8,2,8,0,4,2
8,0,0,0,2,0,0,6,0,4,0
8,0,0,0,0,0,0,0,0,8,0
8,0,0,0,2,8,0,0,0,6,2
9,0,0,44,2,12,2,0,6,0,0
9,0,0,6,0,4,0,8,18,0,0
9,2,0,18,0,16,0,0,12,4,0
9,0,0,14,0,12,0,6,10,4,0
9,0,0,16,0,10,0,2,0,8,0
9,0,2,10,0,12,2,0,10,2,2
9,0,0,24,4,2,0,2,6,2,0
9,0,0,10,0,10,0,0,8,0,0
9,0,0,0,2,4,0,2,0,6,10
9,2,0,0,0,8,2,0,4,4,4
9,0,0,58,0,30,0,2,8,8,0
9,0,0,0,6,16,0,4,2,10,2
9,0,0,0,0,8,2,2,2,6,10
9,0,0,0,4,0,2,2,0,8,6
9,0,0,0,6,8,2,0,0,14,0
9,0,0,0,0,18,0,6,10,12,6
9,0,0,0,0,18,2,2,0,10,2
9,0,0,0,14,24,12,2,0,10,2
9,0,0,0,2,22,0,0,0,22,4
9,0,0,0,0,6,2,0,0,8,0
